internalTaxonId,scientificName,name,language,main
135418,Salvelinus mallochi,Malloch’s Charr,English,true
135419,Salvelinus maxillaris,Large-Mouthed Charr,English,true
135423,Salvelinus perisii,Torgoch,Welsh,false
135423,Salvelinus perisii,Welsh Charr,English,true
135424,Salvelinus struanensis,Struan Charr,English,true
135427,Salvelinus willoughbii,Willoughby’s Charr,English,true
135428,Salvelinus youngeri,Younger's Charr,English,true
149165786,Sphaerophoria virgata,Lovihoikkakirvari,Finnish,false
149165786,Sphaerophoria virgata,Mörk sländfluga,Swedish,false
149165786,Sphaerophoria virgata,Dunkle Stiftschwebfliege,German,true
149165881,Sphaerophoria potentillae,Blodrotsländfluga,Swedish,false
149165881,Sphaerophoria potentillae,Fingerkraut-Stiftschwebfliege,German,true
149165964,Sphaerophoria loewi,Ruokohoikkakirvari,Finnish,false
149165964,Sphaerophoria loewi,Sävsländfluga,Swedish,false
149165964,Sphaerophoria loewi,Sumpf-Stiftschwebfliege,German,true
149166018,Sphaerophoria fatarum,Myrsländfluga,Swedish,false
149166018,Sphaerophoria fatarum,Rahkahoikkakirvari,Finnish,true
149166160,Pyrophaena granditarsa,Nilkkakarttukirvari,Finnish,false
149166160,Pyrophaena granditarsa,Röd Forblomfluga,Swedish,false
149166160,Pyrophaena granditarsa,Breitfuß-Feuerschwebfliege,German,true
149166952,Microdon mutabilis,Rostbraune Ameisenschwebfliege,German,false
149166952,Microdon mutabilis,Limestone Ant Fly,English,true
149167336,Melangyna ericarum,Lyngkrattblomsterflue,Norwegian,false
149167336,Melangyna ericarum,Lyng-Svirreflue,Danish,false
149167336,Melangyna ericarum,Ljungflickblomfluga,Swedish,true
149168135,Chrysotoxum octomaculatum,Heidefopwesp,Dutch; Flemish,false
149168135,Chrysotoxum octomaculatum,Sørlig Vepseblomsterflue,Norwegian,false
149168135,Chrysotoxum octomaculatum,Viirusarvikirvari,Finnish,false
149168135,Chrysotoxum octomaculatum,Åttafläckig Getingfluga,Swedish,true
149168221,Chrysotoxum elegans,Variabele fopwesp,Dutch; Flemish,false
149168221,Chrysotoxum elegans,Praktgetingfluga,Swedish,true
149168870,Trichopsomyia lucida,Gelbe Zwergmondschwebfliege,German,false
149168870,Trichopsomyia lucida,Grootvlekplatbek,Dutch; Flemish,true
149169246,Paragus albifrons,Pirosfoltos fenyérzengőlégy,Hungarian,false
149169246,Paragus albifrons,Stripe-eyed Paragus,English,true
149169825,Lejops vittatus,Gestreifte Schilfschwebfliege,German,false
149169825,Lejops vittatus,Kogleaks-damsvirreflue,Danish,false
